business_unit,sub_unit,team
Infected Blood Inquiry,Inquiry Management Team,Inquiry Management Team
Infected Blood Inquiry,Inquiry Management Team,Legal Team
Infected Blood Inquiry,Inquiry Management Team Finance,Inquiry Management Team Finance
Infected Blood Inquiry,Inquiry Management Team/Business Management,Inquiry Management Team/Business Management
Infected Blood Inquiry,Inquiry Management Team/Engagement Team,Inquiry Management Team/Engagement Team
Infected Blood Inquiry,Inquiry Management Team/Expert groups,Inquiry Management Team/Expert groups
Infected Blood Inquiry,Inquiry Management Team/Engagement Team,Inquiry Management Team/Engagement Team
Infected Blood Inquiry,Inquiry Management Team/Expert Groups,Inquiry Management Team/Expert Groups
Infected Blood Inquiry,Inquiry Management Team/Finance,Inquiry Management Team/Finance
Infected Blood Inquiry,Inquiry Management Team/HR,Inquiry Management Team/HR
Infected Blood Inquiry,Investigators,Investigators
Infected Blood Inquiry,Legal Team,Legal Team
Infrastructure and Projects Authority,Commercial Adviser Team,Commercial Adviser Team
Infrastructure and Projects Authority,Finance,Finance
Infrastructure and Projects Authority,Finance,Senior Leadership Team
Infrastructure and Projects Authority,"Function, Profession & Standards",Function & Standards
Infrastructure and Projects Authority,"Function, Profession & Standards",Function & Strandards
Infrastructure and Projects Authority,"Function, Profession & Standards",Professional Capability
Infrastructure and Projects Authority,"Function, Profession & Standards",Project Delivery Framework
Infrastructure and Projects Authority,"Function, Profession & Standards",Routemap
Infrastructure and Projects Authority,"Function, Profession & Standards",Senior Leadership Team
Infrastructure and Projects Authority,"Infrastructure, Enterprise & Growth",BEIS and Foreign Affairs
Infrastructure and Projects Authority,"Infrastructure, Enterprise & Growth",Housing Digital and Environmental Infrastructure
Infrastructure and Projects Authority,"Infrastructure, Enterprise & Growth",Project Delivery Senior Leadership Team
Infrastructure and Projects Authority,"Infrastructure, Enterprise & Growth",Transport
Infrastructure and Projects Authority,PFI Contract Expiry,PFI
Infrastructure and Projects Authority,Private Office Group,Business Management Team
Infrastructure and Projects Authority,Private Office Group,Executive Support Team
Infrastructure and Projects Authority,Private Office Group,Private Office
Infrastructure and Projects Authority,Project Delivery Adviser Team,Project Delivery Adviser Team
Infrastructure and Projects Authority,Public & Security Services,Defence
Infrastructure and Projects Authority,Public & Security Services,"Home, Tax & Legal"
Infrastructure and Projects Authority,Public & Security Services,Project Delivery Senior Leadership Team
Infrastructure and Projects Authority,Public & Security Services,Social Delivery
Infrastructure and Projects Authority,Public & Security Services,Public & Security Services
Infrastructure and Projects Authority,"Strategy, Performance & Assurance",Assurance & System Learning
Infrastructure and Projects Authority,"Strategy, Performance & Assurance","Performance, Benchmarking & Data"
Infrastructure and Projects Authority,"Strategy, Performance & Assurance",Project Futures
Infrastructure and Projects Authority,"Strategy, Performance & Assurance","Strategy, Policy and Planning"
Infrastructure and Projects Authority,"Strategy, Performance & Assurance","Strategy, Performance & Assurance"
Infrastructure and Projects Authority,Infrastructure and Projects Authority,Infrastructure and Projects Authority
Inquiries Sponsorship Team,Inquiry Team,Inquiry Team
Intelligence Security Committee,Intelligence Security Committee,Office of the Intelligence and Security Committee
Joint Intelligence Organisation,JIO,JIO
National Security Secretariat,Asia Pacific (China),AUKUS
National Security Secretariat,Asia Pacific (China),Asia Pacific (China)
National Security Secretariat,Civil Contingencies Secretariat (CCS),Acceleration Unit
National Security Secretariat,Civil Contingencies Secretariat (CCS),Biological Security Strategy
National Security Secretariat,Civil Contingencies Secretariat (CCS),Central Team
National Security Secretariat,Civil Contingencies Secretariat (CCS),Crisis Management
National Security Secretariat,Civil Contingencies Secretariat (CCS),National Risk & Infrastructure
National Security Secretariat,Civil Contingencies Secretariat (CCS),PO Matthew Collins
National Security Secretariat,Civil Contingencies Secretariat (CCS),Readiness & Response
National Security Secretariat,Civil Contingencies Secretariat (CCS),Training Doctrine & Standards
National Security Secretariat,Defence,CP/Exports/Industry
National Security Secretariat,Defence,Defence
National Security Secretariat,Defence,Defence Programme
National Security Secretariat,G7,G7 Corporate & Strategy
National Security Secretariat,G7,G7 Events & Logistics
National Security Secretariat,Intelligence Technology and Security (Intel Coord),CT/SOC
National Security Secretariat,Intelligence Technology and Security (Intel Coord),INTEL
National Security Secretariat,Intelligence Technology and Security (Intel Coord),INTEL/OSTS
National Security Secretariat,Intelligence Technology and Security (Intel Coord),Private Office Counsellor
National Security Secretariat,Intelligence Technology and Security (Intel Coord),Private Office ITSU Director
National Security Secretariat,Intelligence Technology and Security (Intel Coord),Resilience Capabilities
National Security Secretariat,Intelligence Technology and Security (Intel Coord),SOFIE
National Security Secretariat,International Affairs Unit,Europe & Russia
National Security Secretariat,International Affairs Unit,MEASA
National Security Secretariat,International Affairs Unit,PO Ingrid Southworth
National Security Secretariat,International Affairs Unit,US & ISE
National Security Secretariat,International Economic Unit,Business Management
National Security Secretariat,International Economic Unit,CGI and Development
National Security Secretariat,International Economic Unit,Climate Environment & Development
National Security Secretariat,International Economic Unit,EU Secretariat: Europe Strategy & Institutional Relationship
National Security Secretariat,International Economic Unit,G7/G20
National Security Secretariat,International Economic Unit,Global Britain Secretariat GB (O)
National Security Secretariat,International Economic Unit,Global Health
National Security Secretariat,International Economic Unit,Health Science Resilience
National Security Secretariat,International Economic Unit,International Economics Policy
National Security Secretariat,International Economic Unit,PO  Jonathan Black
National Security Secretariat,International Economic Unit,International Economic Unit
National Security Secretariat,Nuclear,Nuclear Sprints
National Security Secretariat,Private Office,PO Matthew Collins
National Security Secretariat,Private Office,PO Rob Harrison
National Security Secretariat,Private Office,PO Stephen Lovegrove
National Security Secretariat,State Threats Cyber Security and Economic Threats,Cyber Team
National Security Secretariat,State Threats Cyber Security and Economic Threats,Economic Threats
National Security Secretariat,State Threats Cyber Security and Economic Threats,Private Office Gemma Ungoed-Thomas
National Security Secretariat,State Threats Cyber Security and Economic Threats,State Threats
National Security Secretariat,Strategy Comms,National Security Communications
National Security Secretariat,Strategy Unit,Critical Enablers
National Security Secretariat,Strategy Unit,Diversity & Inclusion
National Security Secretariat,Strategy Unit,PO Strategy Unit
National Security Secretariat,Strategy Unit,SOFIE
National Security Secretariat,Strategy Unit,Strategic Advantage
National Security Secretariat,Strategy Unit,Strategic Finance
National Security Secretariat,Strategy Unit,Strategy Development
No 10 Communications,Press Office,Press Office
No 10 Communications,Press Office SpAds,Press Office SpAds
No 10 Communications,Prime Minister's Office,Digital Communications
No 10 Communications,Prime Minister's Office,Press Office
Office for Science and Technology Strategy,DG Office,DG Office
Office for Science and Technology Strategy,Strategy & Secretariat,Strategy & Secretariat
Office for Veteransí Affairs,"Policy, Programmes and Engagement",Administrative/Corporate Support
Office for Veteransí Affairs,"Policy, Programmes and Engagement",Business Management
Office for Veteransí Affairs,"Policy, Programmes and Engagement",Communications
Office for Veteransí Affairs,"Policy, Programmes and Engagement",Correspondence
Office for Veteransí Affairs,"Policy, Programmes and Engagement",Policy & Secretariat
Office for Veteransí Affairs,"Policy, Programmes and Engagement",Project Delivery
Office for Veteransí Affairs,"Policy, Programmes and Engagement",Senior Management
Office for Veteransí Affairs,"Research, Strategy and Data",Research & Strategy
Office for Veteransí Affairs,"Research, Strategy and Data",Senior Management
Office of Government Property,OGP - Chief Operating Officer,Chief Operating Officer
Office of Government Property,OGP - Data & Analysis,Data & Analysis
Office of Government Property,OGP - Places for Growth,Places for Growth
Office of Government Property,OGP - Property Profession,Property Profession
Office of Government Property,OGP - Facilities Management,Facilities Management
Office of Government Property,OGP - One Public Estate,One Public Estate
Office of Government Property,OGP - Property Programmes,Property Programmes
Office of Government Property,OGP - Strategy & Assurance,Strategy & Assurance
Planning and Analysis Secretariat,Commemoration / Recognition,Commemoration / Recognition
Planning and Analysis Secretariat,Economic Resilience Unit,Borders & Infrastructure
Planning and Analysis Secretariat,Economic Resilience Unit,Contingency Locations (Passengers)
Planning and Analysis Secretariat,Economic Resilience Unit,EU Contingencies
Planning and Analysis Secretariat,Economic Resilience Unit,EUCT Project Team
Planning and Analysis Secretariat,Economic Resilience Unit,"Goods, Energy and Food"
Planning and Analysis Secretariat,Economic Resilience Unit,Labour Markets
Planning and Analysis Secretariat,Economic Resilience Unit,Private Office
Planning and Analysis Secretariat,Economic Resilience Unit,TBC
Planning and Analysis Secretariat,Innovation,Innovation Team
Planning and Analysis Secretariat,Joint Data and Analysis Centre,CCS
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Dashboard
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Data Science & Production
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Directorate
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Foresight
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Health Team
Planning and Analysis Secretariat,Joint Data and Analysis Centre,International
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Operations and Strategy
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Science
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Situation Centre
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Society
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Thematic: Economic Resilience Unit Support
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Thematic: Economy
Planning and Analysis Secretariat,Joint Data and Analysis Centre,Thematic: Society
Planning and Analysis Secretariat,Operations,Change & Operations Team
Planning and Analysis Secretariat,Public Sector Resilience Unit,Director General Offices
Planning and Analysis Secretariat,Public Sector Resilience Unit,Directorate
Planning and Analysis Secretariat,Public Sector Resilience Unit,Health Planning & Resilience
Planning and Analysis Secretariat,Public Sector Resilience Unit,Public Sector Planning & Resilience
Planning and Analysis Secretariat,Senior Officials and Private Offices,Director General Offices
Planning and Analysis Secretariat,Senior Officials and Private Offices,Director General Offices (Economic Resilience)
Planning and Analysis Secretariat,Senior Officials and Private Offices,Director General Offices (Public Sector Resilience)
Prime Minister's Office,Business Team,Business Team
Prime Minister's Office,Chief of Staff/CDL's Office,Chief of Staff/CDL's Office
Prime Minister's Office,Corporate Services,Corporate Services
Prime Minister's Office,Data Science Team (10DS),Data Science Team (10DS)
Prime Minister's Office,Delivery Unit,Delivery Unit
Prime Minister's Office,Diary Team,Diary Team
Prime Minister's Office,Direct Communications Unit (DCU),Direct Communications Unit (DCU)
Prime Minister's Office,Events & Visits,Events & Visits
Prime Minister's Office,Front of House (FoH),Front of House (FoH)
Prime Minister's Office,Honours & Appointments Team,Honours & Appointments Team
Prime Minister's Office,Legislation,Legislation
Prime Minister's Office,Permanent Secretary's Office,Permanent Secretary's Office
Prime Minister's Office,Policy Unit,Policy Unit
Prime Minister's Office,Policy Unit & HMT,Policy Unit & HMT
Prime Minister's Office,Private Office,Private Office
Prime Minister's Office,Private Office & HMT,Private Office & HMT
Prime Minister's Office,Private Office Support Team (PMPOST),Private Office Support Team (PMPOST)
Prime Minister's Office,Research & Messaging,Research & Messaging
Public Bodies,Policy,Policy
Public Bodies,Policy,Public Bodies
Public Bodies,Public Bodies,Policy
Public Bodies,Public Bodies,Public Bodies
Public Inquiry Response Unit,C-19 Public Inquiry Response Unit,C-19 Public Inquiry Response Unit
Public Inquiry Response Unit,"Discovery, Review and Disclosure",Discovery
Public Inquiry Response Unit,"Discovery, Review and Disclosure","Discovery, Review and Disclosure"
Public Inquiry Response Unit,"Discovery, Review and Disclosure",Review and Disclosure
Public Inquiry Response Unit,Programme and Engagement,Governance
Public Inquiry Response Unit,Programme and Engagement,Operations
Public Inquiry Response Unit,Programme and Engagement,Programme and Engagement
Public Inquiry Response Unit,Programme and Engagement,Stakeholder Engagement
Public Inquiry Response Unit,Programme and Engagement,Witness Support
Public Inquiry Response Unit,Strategy and Briefing,Ministers and Seniors
Public Inquiry Response Unit,Strategy and Briefing,Parlimentary and Ministerial
Public Inquiry Response Unit,Strategy and Briefing,Parlimentary Engagement
Public Inquiry Response Unit,Strategy and Briefing,Strategy and Core Narrative
Strategy Delivery and Private Office,CS & CO Governance Team,CS & CO Governance Team
Strategy Delivery and Private Office,CS COO,Civil Service Chief Operating Officer and Cabinet Office Permanent Secretary
Strategy Delivery and Private Office,GSMO,GSMO
Strategy Delivery and Private Office,GSMO,Reporting
Strategy Delivery and Private Office,GSMO,Strategic Planning & Performance
Strategy Delivery and Private Office,Lord Frost Private Office,Lord Frost Private Office
Strategy Delivery and Private Office,Ministerial Private Offices,Ministerial Private Office
Strategy Delivery and Private Office,Parliamentary and Correspondence Team,Parliamentary and Correspondence Team
Strategy Delivery and Private Office,PPU,Priority Projects Unit
Strategy Delivery and Private Office,Strategic Planning,Strategic Planning
Strategy Delivery and Private Office,Strategic Planning,"Strategy, Delivery and PO"
UK Governance Group,BIC,BIC Sec
UK Governance Group,CONSTITUTION OFFICE,SLT
UK Governance Group,Constitutional Settlement Division,Business Management
UK Governance Group,Constitutional Settlement Division,Constitutional Policy
UK Governance Group,Constitutional Settlement Division,DaCoP
UK Governance Group,Constitutional Settlement Division,Parliamentary Policy
UK Governance Group,Constitutional Settlement Division,SLT
UK Governance Group,Major Events,Ad Hoc Projects
UK Governance Group,Major Events,Diary Manager
UK Governance Group,Major Events,Engagement & Readiness
UK Governance Group,Major Events,Exercising & Preparedness
UK Governance Group,Major Events,GLA/CO Joint Unit
UK Governance Group,Major Events,OPS
UK Governance Group,Major Events,Policy & Programme Management
UK Governance Group,Major Events,Royal Household Support
UK Governance Group,Major Events,SLT
UK Governance Group,Major Events,Strategy
UK Governance Group,Major Events,Surge
UK Governance Group,Relocated teams,Relocated
UK Governance Group,Relocated teams,SLT
UK Governance Group,UK Governance Division,BIC & CDOT
UK Governance Group,UK Governance Division,Diary
UK Governance Group,UK Governance Division,Frameworks
UK Governance Group,UK Governance Division,IGR Implementation
UK Governance Group,UK Governance Division,IGR International
UK Governance Group,UK Governance Division,Loans
UK Governance Group,UK Governance Division,New posts
UK Governance Group,UK Governance Division,SLT
UK Governance Group,UK Governance Division,UP Sec
